average_velocity,collision,collision_events,config_sha256,current_game_time,distance_to_route,driven_distance,ego_acceleration_x,ego_acceleration_y,ego_acceleration_z,ego_pitch,ego_roll,ego_velocity,ego_x,ego_y,ego_yaw,ego_z,input_file,lane_invasion,lane_invasion_events,off_road,route_complete,run_id,run_red_light,run_stop,scenario
10.48,no running,"[{""frame"": 53026, ""impulse"": 4416.8293, ""other_actor_id"": 129, ""other_actor_type"": ""vehicle.tesla.model3"", ""sim_time"": 99.4024}, {""frame"": 53028, ""impulse"": 245.8419, ""other_actor_id"": 129, ""other_actor_type"": ""vehicle.tesla.model3"", ""sim_time"": 99.5024}, {""frame"": 53029, ""impulse"": 168.0013, ""other_actor_id"": 129, ""other_actor_type"": ""vehicle.tesla.model3"", ""sim_time"": 99.5524}, {""frame"": 53030, ""impulse"": 179.3418, ""other_actor_id"": 129, ""other_actor_type"": ""vehicle.tesla.model3"", ""sim_time"": 99.6024}, {""frame"": 53031, ""impulse"": 130.3279, ""other_actor_id"": 129, ""other_actor_type"": ""vehicle.tesla.model3"", ""sim_time"": 99.6524}, {""frame"": 53032, ""impulse"": 275.2591, ""other_actor_id"": 129, ""other_actor_type"": ""vehicle.tesla.model3"", ""sim_time"": 99.7024}]",eda900b2d844a40e91f0a80331fd05381f3343bba15780293271ecd19c937892,113.0,0.0,174.11,1.73,-1.58,-0.0,0.0,0.12,10.48,-15.18,159.31,44.01,6.0,/home/djhuai/zuo/stf/new/STF/save_scenarios_3/scenario_1_0000_cloudy_01.json,0,[],0,False,20260909T083725.778281Z,0,0,scenario_1_0000_cloudy_01
10.55,no running,"[{""frame"": 53447, ""impulse"": 4965.9542, ""other_actor_id"": 133, ""other_actor_type"": ""vehicle.tesla.model3"", ""sim_time"": 120.4524}, {""frame"": 53449, ""impulse"": 1322.6493, ""other_actor_id"": 133, ""other_actor_type"": ""vehicle.tesla.model3"", ""sim_time"": 120.5524}, {""frame"": 53450, ""impulse"": 299.227, ""other_actor_id"": 133, ""other_actor_type"": ""vehicle.tesla.model3"", ""sim_time"": 120.6024}, {""frame"": 53451, ""impulse"": 130.4071, ""other_actor_id"": 133, ""other_actor_type"": ""vehicle.tesla.model3"", ""sim_time"": 120.6524}, {""frame"": 53452, ""impulse"": 157.9323, ""other_actor_id"": 133, ""other_actor_type"": ""vehicle.tesla.model3"", ""sim_time"": 120.7024}, {""frame"": 53453, ""impulse"": 131.8857, ""other_actor_id"": 133, ""other_actor_type"": ""vehicle.tesla.model3"", ""sim_time"": 120.7524}, {""frame"": 53454, ""impulse"": 163.5687, ""other_actor_id"": 133, ""other_actor_type"": ""vehicle.tesla.model3"", ""sim_time"": 120.8024}, {""frame"": 53455, ""impulse"": 135.3896, ""other_actor_id"": 133, ""other_actor_type"": ""vehicle.tesla.model3"", ""sim_time"": 120.8524}, {""frame"": 53456, ""impulse"": 90.1136, ""other_actor_id"": 133, ""other_actor_type"": ""vehicle.tesla.model3"", ""sim_time"": 120.9024}]",47ae7d8f30a40cb232e196d45a10cbf5e52647702039a006e7c2c3ec2725ee40,134.4,0.0,178.59,0.99,-0.94,0.0,0.0,0.07,10.55,-12.06,162.07,39.86,6.0,/home/djhuai/zuo/stf/new/STF/save_scenarios_3/scenario_1_0000_cloudy_02.json,0,[],0,False,20260909T083725.778281Z,0,0,scenario_1_0000_cloudy_02
6.28,no running,"[{""frame"": 57325, ""sim_time"": 112.4351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 7643.2028}, {""frame"": 57327, ""sim_time"": 112.5351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 1140.1165}, {""frame"": 57328, ""sim_time"": 112.5851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 273.5616}, {""frame"": 57329, ""sim_time"": 112.6351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 243.2212}, {""frame"": 57330, ""sim_time"": 112.6851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 218.3796}, {""frame"": 57331, ""sim_time"": 112.7351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 184.9344}, {""frame"": 57332, ""sim_time"": 112.7851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 191.8324}, {""frame"": 57333, ""sim_time"": 112.8351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 174.9999}, {""frame"": 57334, ""sim_time"": 112.8851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 163.1671}, {""frame"": 57335, ""sim_time"": 112.9351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 87.5779}, {""frame"": 57336, ""sim_time"": 112.9851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 95.0802}, {""frame"": 57337, ""sim_time"": 113.0351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 43.8748}, {""frame"": 57338, ""sim_time"": 113.0851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 18.233}, {""frame"": 57339, ""sim_time"": 113.1351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 86.8356}, {""frame"": 57340, ""sim_time"": 113.1851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 56.2149}, {""frame"": 57341, ""sim_time"": 113.2351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 83.392}, {""frame"": 57342, ""sim_time"": 113.2851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 44.4124}, {""frame"": 57343, ""sim_time"": 113.3351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 39.1976}, {""frame"": 57344, ""sim_time"": 113.3851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 56.8132}, {""frame"": 57345, ""sim_time"": 113.4351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 38.1095}, {""frame"": 57346, ""sim_time"": 113.4851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 49.1677}, {""frame"": 57347, ""sim_time"": 113.5351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 65.5075}, {""frame"": 57348, ""sim_time"": 113.5851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 29.9853}, {""frame"": 57349, ""sim_time"": 113.6351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 31.8804}, {""frame"": 57350, ""sim_time"": 113.6851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 80.5978}, {""frame"": 57351, ""sim_time"": 113.7351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 49.0108}, {""frame"": 57352, ""sim_time"": 113.7851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 57.0479}, {""frame"": 57353, ""sim_time"": 113.8351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 59.9578}, {""frame"": 57354, ""sim_time"": 113.8851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 73.9426}, {""frame"": 57355, ""sim_time"": 113.9351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 44.9156}, {""frame"": 57356, ""sim_time"": 113.9851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 17.953}, {""frame"": 57357, ""sim_time"": 114.0351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 44.9006}, {""frame"": 57358, ""sim_time"": 114.0851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 67.0402}, {""frame"": 57359, ""sim_time"": 114.1351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 69.5156}, {""frame"": 57360, ""sim_time"": 114.1851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 29.7694}, {""frame"": 57361, ""sim_time"": 114.2351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 64.9291}, {""frame"": 57362, ""sim_time"": 114.2851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 62.5452}, {""frame"": 57363, ""sim_time"": 114.3351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 28.8288}, {""frame"": 57364, ""sim_time"": 114.3851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 44.1872}, {""frame"": 57365, ""sim_time"": 114.4351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 46.0439}, {""frame"": 57366, ""sim_time"": 114.4851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 17.8009}, {""frame"": 57367, ""sim_time"": 114.5351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 46.1713}, {""frame"": 57368, ""sim_time"": 114.5851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 36.8081}, {""frame"": 57369, ""sim_time"": 114.6351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 33.1873}, {""frame"": 57370, ""sim_time"": 114.6851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 14.5249}, {""frame"": 57371, ""sim_time"": 114.7351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 37.5037}, {""frame"": 57372, ""sim_time"": 114.7851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 16.4763}, {""frame"": 57373, ""sim_time"": 114.8351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 20.5181}, {""frame"": 57374, ""sim_time"": 114.8851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 17.2018}, {""frame"": 57375, ""sim_time"": 114.9351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 58.2384}, {""frame"": 57376, ""sim_time"": 114.9851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 30.4664}, {""frame"": 57378, ""sim_time"": 115.0851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 123.391}, {""frame"": 57379, ""sim_time"": 115.1351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 51.7813}, {""frame"": 57380, ""sim_time"": 115.1851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 23.354}, {""frame"": 57381, ""sim_time"": 115.2351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 51.9776}, {""frame"": 57382, ""sim_time"": 115.2851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 47.676}, {""frame"": 57383, ""sim_time"": 115.3351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 57.5652}, {""frame"": 57384, ""sim_time"": 115.3851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 65.1426}, {""frame"": 57385, ""sim_time"": 115.4351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 53.1306}, {""frame"": 57386, ""sim_time"": 115.4851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 34.9818}, {""frame"": 57387, ""sim_time"": 115.5351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 644.6413}, {""frame"": 57391, ""sim_time"": 115.7351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 65.128}, {""frame"": 57392, ""sim_time"": 115.7851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 57.5722}, {""frame"": 57393, ""sim_time"": 115.8351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 38.5128}, {""frame"": 57394, ""sim_time"": 115.8851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 51.5037}, {""frame"": 57395, ""sim_time"": 115.9351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 2.478}, {""frame"": 57396, ""sim_time"": 115.9851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 49.5109}, {""frame"": 57397, ""sim_time"": 116.0351, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 21.0285}, {""frame"": 57398, ""sim_time"": 116.0851, ""other_actor_id"": 246, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 31.5141}]",eda900b2d844a40e91f0a80331fd05381f3343bba15780293271ecd19c937892,119.5,0.0,46.4,-0.28,1.37,-0.0,0.01,0.0,6.28,1.73,37.56,106.66,5.3,/home/djhuai/zuo/stf/new/STF/save_scenarios_3/scenario_1_0000_cloudy_01.json,0,[],0,False,20260909T084125.763259Z,0,0,scenario_1_0000_cloudy_01
6.73,no running,"[{""frame"": 57593, ""sim_time"": 125.8351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 7643.2028}, {""frame"": 57595, ""sim_time"": 125.9351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 1140.1165}, {""frame"": 57596, ""sim_time"": 125.9851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 273.5616}, {""frame"": 57597, ""sim_time"": 126.0351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 239.1377}, {""frame"": 57598, ""sim_time"": 126.0851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 215.0208}, {""frame"": 57599, ""sim_time"": 126.1351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 185.0878}, {""frame"": 57600, ""sim_time"": 126.1851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 190.1168}, {""frame"": 57601, ""sim_time"": 126.2351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 174.3488}, {""frame"": 57602, ""sim_time"": 126.2851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 142.3329}, {""frame"": 57603, ""sim_time"": 126.3351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 113.4967}, {""frame"": 57604, ""sim_time"": 126.3851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 69.9525}, {""frame"": 57605, ""sim_time"": 126.4351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 36.954}, {""frame"": 57606, ""sim_time"": 126.4851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 42.2142}, {""frame"": 57607, ""sim_time"": 126.5351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 62.3028}, {""frame"": 57608, ""sim_time"": 126.5851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 57.2613}, {""frame"": 57609, ""sim_time"": 126.6351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 52.7733}, {""frame"": 57610, ""sim_time"": 126.6851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 47.5333}, {""frame"": 57611, ""sim_time"": 126.7351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 27.137}, {""frame"": 57612, ""sim_time"": 126.7851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 4.0708}, {""frame"": 57613, ""sim_time"": 126.8351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 54.8992}, {""frame"": 57614, ""sim_time"": 126.8851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 41.2936}, {""frame"": 57615, ""sim_time"": 126.9351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 67.2902}, {""frame"": 57616, ""sim_time"": 126.9851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 48.7021}, {""frame"": 57617, ""sim_time"": 127.0351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 75.4663}, {""frame"": 57618, ""sim_time"": 127.0851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 36.7253}, {""frame"": 57619, ""sim_time"": 127.1351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 68.0245}, {""frame"": 57620, ""sim_time"": 127.1851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 57.536}, {""frame"": 57621, ""sim_time"": 127.2351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 48.4743}, {""frame"": 57622, ""sim_time"": 127.2851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 37.1156}, {""frame"": 57623, ""sim_time"": 127.3351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 53.366}, {""frame"": 57624, ""sim_time"": 127.3851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 56.53}, {""frame"": 57625, ""sim_time"": 127.4351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 38.2559}, {""frame"": 57626, ""sim_time"": 127.4851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 23.098}, {""frame"": 57627, ""sim_time"": 127.5351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 69.9771}, {""frame"": 57628, ""sim_time"": 127.5851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 63.0686}, {""frame"": 57629, ""sim_time"": 127.6351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 55.2867}, {""frame"": 57630, ""sim_time"": 127.6851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 23.7156}, {""frame"": 57631, ""sim_time"": 127.7351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 62.8165}, {""frame"": 57632, ""sim_time"": 127.7851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 52.1022}, {""frame"": 57633, ""sim_time"": 127.8351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 42.1631}, {""frame"": 57634, ""sim_time"": 127.8851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 56.368}, {""frame"": 57635, ""sim_time"": 127.9351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 51.8864}, {""frame"": 57636, ""sim_time"": 127.9851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 59.6217}, {""frame"": 57637, ""sim_time"": 128.0351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 26.1096}, {""frame"": 57638, ""sim_time"": 128.0851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 42.7406}, {""frame"": 57639, ""sim_time"": 128.1351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 45.3089}, {""frame"": 57640, ""sim_time"": 128.1851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 17.5502}, {""frame"": 57641, ""sim_time"": 128.2351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 11.0753}, {""frame"": 57642, ""sim_time"": 128.2851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 59.5364}, {""frame"": 57643, ""sim_time"": 128.3351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 120.6976}, {""frame"": 57644, ""sim_time"": 128.3851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 57.9761}, {""frame"": 57645, ""sim_time"": 128.4351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 74.719}, {""frame"": 57646, ""sim_time"": 128.4851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 41.7066}, {""frame"": 57647, ""sim_time"": 128.5351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 39.9658}, {""frame"": 57648, ""sim_time"": 128.5851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 57.2665}, {""frame"": 57649, ""sim_time"": 128.6351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 49.5724}, {""frame"": 57650, ""sim_time"": 128.6851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 31.6081}, {""frame"": 57651, ""sim_time"": 128.7351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 69.6876}, {""frame"": 57652, ""sim_time"": 128.7851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 53.0653}, {""frame"": 57653, ""sim_time"": 128.8351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 44.4484}, {""frame"": 57657, ""sim_time"": 129.0351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 33.5008}, {""frame"": 57658, ""sim_time"": 129.0851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 86.575}, {""frame"": 57659, ""sim_time"": 129.1351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 38.4362}, {""frame"": 57660, ""sim_time"": 129.1851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 37.5245}, {""frame"": 57661, ""sim_time"": 129.2351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 22.8129}, {""frame"": 57662, ""sim_time"": 129.2851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 34.596}, {""frame"": 57663, ""sim_time"": 129.3351, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 19.8523}, {""frame"": 57664, ""sim_time"": 129.3851, ""other_actor_id"": 250, ""other_actor_type"": ""vehicle.tesla.model3"", ""impulse"": 26.1537}]",47ae7d8f30a40cb232e196d45a10cbf5e52647702039a006e7c2c3ec2725ee40,133.3,0.0,49.67,-0.17,0.88,-0.0,0.01,0.0,6.73,0.81,40.7,106.15,5.3,/home/djhuai/zuo/stf/new/STF/save_scenarios_3/scenario_1_0000_cloudy_02.json,0,[],0,False,20260909T084125.763259Z,0,0,scenario_1_0000_cloudy_02
