base_seed,config_sha256,failure_reasons,input_file,maneuver,matrix_id,matrix_seed,pass,planned_exit,route_complete,route_fingerprint,run_id,scenario,signal_case,topology_hash,trial_index,trial_seed
,5708299eb5e012ca2b498fccde3c0e2ea67c4a1bab0af089daf0259fd474eccb,"[""spawn_failed: 'NoneType' object has no attribute 'get_location'""]",/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_dawn_01.json,,,,False,,False,,20260910T014520.096531Z,scenario_1_0000_dawn_01,,,,
,986333a99212e1aa7fa9ff8cb46a34e1768d14df5a8664a5f95acd2caddbee41,"[""spawn_failed: 'NoneType' object has no attribute 'get_location'""]",/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_dawn_02.json,,,,False,,False,,20260910T014520.096531Z,scenario_1_0000_dawn_02,,,,
,649b56aafa40b1565077bc5c2c395ae956dde9c12b3effc11dddfd4eeda209c6,"[""spawn_failed: 'NoneType' object has no attribute 'get_location'""]",/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_dawn_03.json,,,,False,,False,,20260910T014520.096531Z,scenario_1_0000_dawn_03,,,,
,73d8727f8b743c57b1dc4ed723236d89b3738c61862f855ee37f0e678d08c66f,"[""spawn_failed: 'NoneType' object has no attribute 'get_location'""]",/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_dawn_04.json,,,,False,,False,,20260910T014520.096531Z,scenario_1_0000_dawn_04,,,,
,f104dad674315413618ba5b4625ab5d72c4f2a1190e99049cefc2e3bcb599baf,"[""spawn_failed: 'NoneType' object has no attribute 'get_location'""]",/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_dawn_05.json,,,,False,,False,,20260910T014520.096531Z,scenario_1_0000_dawn_05,,,,
,5758b33e26e1c07da275e1ebe05695921ef276a008c8fac3998f2e79bd03d924,"[""spawn_failed: 'NoneType' object has no attribute 'get_location'""]",/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_dawn_06.json,,,,False,,False,,20260910T014520.096531Z,scenario_1_0000_dawn_06,,,,
,13321c674b3e2504186e460c2023526f8a9ea76981807327f0b0b4029714ca09,"[""spawn_failed: 'NoneType' object has no attribute 'get_location'""]",/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_dawn_07.json,,,,False,,False,,20260910T014520.096531Z,scenario_1_0000_dawn_07,,,,
,42f1464deeb4c659d2f6ca1d4357f0b5c4ebe20fc135dedc090545bc2064f114,"[""spawn_failed: 'NoneType' object has no attribute 'get_location'""]",/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_dawn_08.json,,,,False,,False,,20260910T014520.096531Z,scenario_1_0000_dawn_08,,,,
,1b7e88b1c1954c3d80a6aab4f661231b0f1fdd69f25351053556856d947243a4,"[""spawn_failed: 'NoneType' object has no attribute 'get_location'""]",/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_01.json,,,,False,,False,,20260910T015201.136028Z,scenario_1_0000_cloudy_01,,,,
,c520063fd4be3579d0987e76ea6ff91fccbc73a6cecc33dc70a3736f0d7fea2c,"[""spawn_failed: 'NoneType' object has no attribute 'get_location'""]",/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_02.json,,,,False,,False,,20260910T015201.136028Z,scenario_1_0000_cloudy_02,,,,
,0c460fbd2e5af8751caee7ec7aee6fc666a1fd84354e11cf79d5a0dbdba46ea4,"[""spawn_failed: 'NoneType' object has no attribute 'get_location'""]",/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_03.json,,,,False,,False,,20260910T015201.136028Z,scenario_1_0000_cloudy_03,,,,
,c530b498ccea1cfb68543ae5e73ddf296c9b362cc8222aa70f008337748d31eb,"[""spawn_failed: 'NoneType' object has no attribute 'get_location'""]",/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_04.json,,,,False,,False,,20260910T015201.136028Z,scenario_1_0000_cloudy_04,,,,
,8bb1fbfaa14ec3ffa696be68256200fc2b45d34a80a46a3d7dc5b71052f24aee,"[""spawn_failed: 'NoneType' object has no attribute 'get_location'""]",/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_05.json,,,,False,,False,,20260910T015201.136028Z,scenario_1_0000_cloudy_05,,,,
,5b9779d161c6a2430a230a4cd98150b144d38ba10bbfc358d8d76d59ff38b499,"[""spawn_failed: 'NoneType' object has no attribute 'get_location'""]",/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_06.json,,,,False,,False,,20260910T015201.136028Z,scenario_1_0000_cloudy_06,,,,
,7aea669ab1baf7796e76a1aed78598efd8faeb54fde734355524efb5bf63afbd,"[""spawn_failed: 'NoneType' object has no attribute 'get_location'""]",/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_07.json,,,,False,,False,,20260910T015201.136028Z,scenario_1_0000_cloudy_07,,,,
